模型与概率版本,模型,概率版本,排序曲线下面积,平均精确率,对数损失,布里尔分数
基线逻辑回归·原始概率,基线逻辑回归,原始概率,0.720033332640667,0.18705300629876662,0.2570003066559087,0.07025658292548434
基线逻辑回归·校准概率,基线逻辑回归,校准概率,0.720033332640667,0.18705300629876662,0.25699264528653915,0.0702537822616539
主模型梯度提升树·原始概率,主模型梯度提升树,原始概率,0.7403542301058477,0.21992429390684018,0.2512733023142206,0.06892724035787241
主模型梯度提升树·校准概率,主模型梯度提升树,校准概率,0.7403542301058477,0.21992429390684018,0.25127365139779423,0.06892694194453027
