,样本数,实际标签一占比,平均预测概率,排序曲线下面积,基尼系数,最大分布差异,平均精确率,布里尔分数,对数损失
主模型梯度提升树,61503.0,0.08072776937710356,0.08051385971183429,0.7453047023387064,0.49060940467741276,0.3616091158752251,0.23128462848007417,0.0684044295067339,0.2493633674702115
基线逻辑回归,61503.0,0.08072776937710356,0.08059335191681713,0.7258993345366342,0.4517986690732685,0.34192654321522015,0.1967416650141427,0.06986080177656905,0.25535284858447427
