区间下限,区间上限,样本数,平均预测概率,实际正类比例
0.0038614690608273438,0.020542962179188055,6151,0.015819945874205075,0.015769793529507397
0.020545568686122378,0.027596554343390603,6150,0.024109326108807436,0.02130081300813008
0.027596729762269172,0.035092221730867824,6150,0.03124830031073561,0.032520325203252036
0.03509285095255376,0.04402149672182741,6150,0.03944041509388527,0.038211382113821135
0.044026591717475236,0.055051198645544905,6151,0.049289154015393966,0.04860998211672899
0.05505339364167308,0.06945849734531173,6150,0.061887349919647075,0.06634146341463415
0.06945875378893426,0.08920986960313416,6150,0.07886579885485231,0.07658536585365854
0.08921444860138797,0.11930988029368925,6150,0.10299518778896054,0.10097560975609757
0.11931045499688285,0.17427288719361247,6150,0.1433945074386455,0.14032520325203252
0.17429332496685107,0.6717604843788768,6151,0.25807533645187597,0.2666233132823931
